country,year,gdp,life_satisf
PT,2025,22560,7.3
RO,2013,8710,7.2
RO,2018,11260,7.4
RO,2021,12130,7.7
RO,2022,12690,7.7
RO,2023,12970,7.7
RO,2024,13090,7.7
RO,2025,13190,7.8
RS,2013,6010,5
RS,2018,6770,5.6
RS,2021,7740,5.9
RS,2022,8160,6.1
RS,2023,8510,6.4
RS,2024,8900,6.5
RS,2025,9140,6.6
SE,2013,43770,7.9
SE,2018,46700,7.8
SE,2021,48300,7.6
SE,2022,48390,7.5
SE,2023,47960,7.5
SE,2024,48770,7.4
SE,2025,49250,7.4
SI,2013,19210,7
SI,2018,22720,7.2
SI,2021,24040,7.6
SI,2022,24650,7.6
SI,2023,25170,7.7
SI,2024,25600,7.7
SI,2025,25940,7.6
SK,2013,14830,7
SK,2018,17380,7.1
SK,2021,18320,7.1
SK,2022,18360,7
SK,2023,18750,7.3
SK,2024,19110,7.3
SK,2025,19270,7.4
TR,2013,6360,5.8
TR,2018,7290,5.7
TR,2021,8130,5.6
TR,2022,8490,5.4
TR,2023,8920,5.6
TR,2024,9220,5.8
